Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2017-07-08 16:26:43,Running,23.59,1900-01-01 02:13:08,1900-01-01 00:05:39,10.63,390,143,TomTom MySports Watch
2017-07-05 18:53:40,Running,12.78,1900-01-01 01:07:52,1900-01-01 00:05:19,11.3,173,140,TomTom MySports Watch
2017-07-02 18:34:53,Running,10.25,1900-01-01 00:58:05,1900-01-01 00:05:40,10.59,130,138,TomTom MySports Watch
2017-07-02 17:15:47,Running,13.39,1900-01-01 01:16:21,1900-01-01 00:05:42,10.52,248,136,TomTom MySports Watch
2017-06-28 18:24:55,Running,12.7,1900-01-01 01:07:16,1900-01-01 00:05:18,11.33,171,147,TomTom MySports Watch
2017-06-25 15:57:36,Running,21.27,1900-01-01 02:04:36,1900-01-01 00:05:51,10.24,340,145,TomTom MySports Watch
2017-06-21 18:42:29,Running,12.72,1900-01-01 01:09:23,1900-01-01 00:05:27,11.0,175,139,TomTom MySports Watch
2017-06-17 10:13:45,Running,14.87,1900-01-01 01:25:46,1900-01-01 00:05:46,10.41,247,143,TomTom MySports Watch
2017-06-15 18:54:32,Running,12.8,1900-01-01 01:06:15,1900-01-01 00:05:10,11.59,128,147,TomTom MySports Watch
2017-06-12 18:25:58,Running,12.67,1900-01-01 01:05:58,1900-01-01 00:05:12,11.53,128,148,TomTom MySports Watch
2017-06-04 16:01:52,Running,21.02,1900-01-01 02:02:14,1900-01-01 00:05:49,10.32,330,138,TomTom MySports Watch
2017-06-01 19:00:16,Running,8.65,1900-01-01 00:45:28,1900-01-01 00:05:15,11.41,88,143,TomTom MySports Watch
2017-05-30 18:19:20,Running,8.42,1900-01-01 00:42:48,1900-01-01 00:05:05,11.8,85,154,TomTom MySports Watch
2017-05-28 16:42:07,Running,21.11,1900-01-01 01:58:50,1900-01-01 00:05:38,10.66,337,143,TomTom MySports Watch
2017-05-24 18:23:30,Running,12.74,1900-01-01 01:09:47,1900-01-01 00:05:29,10.95,171,140,TomTom MySports Watch
2017-05-21 12:18:56,Running,22.07,1900-01-01 02:06:18,1900-01-01 00:05:43,10.48,354,146,TomTom MySports Watch
2017-05-17 18:18:34,Running,13.82,1900-01-01 01:10:59,1900-01-01 00:05:08,11.68,128,143,missing
2017-05-15 18:25:55,Running,16.83,1900-01-01 01:24:48,1900-01-01 00:05:02,11.91,167,151,TomTom MySports Watch
2017-05-10 18:40:04,Running,8.53,1900-01-01 00:43:24,1900-01-01 00:05:05,11.79,87,146,TomTom MySports Watch
2017-05-03 18:32:01,Running,12.43,1900-01-01 01:04:04,1900-01-01 00:05:09,11.64,125,151,TomTom MySports Watch
2017-05-01 17:38:35,Cycling,20.19,1900-01-01 00:54:29,1900-01-01 00:02:42,22.24,204,135,TomTom MySports Watch
2017-04-29 17:05:47,Running,21.18,1900-01-01 02:02:14,1900-01-01 00:05:46,10.39,343,142,TomTom MySports Watch
2017-04-25 18:44:32,Running,8.68,1900-01-01 00:44:46,1900-01-01 00:05:09,11.63,86,150,TomTom MySports Watch
2017-04-23 11:50:12,Running,19.27,1900-01-01 01:50:24,1900-01-01 00:05:44,10.47,305,149,TomTom MySports Watch
2017-04-17 16:20:08,Running,15.0,1900-01-01 01:21:03,1900-01-01 00:05:24,11.1,222,147,TomTom MySports Watch
2017-04-13 19:04:16,Running,8.58,1900-01-01 00:46:21,1900-01-01 00:05:24,11.1,88,145,TomTom MySports Watch
2017-04-10 18:46:56,Running,12.72,1900-01-01 01:07:05,1900-01-01 00:05:16,11.38,122,146,TomTom MySports Watch
2017-04-06 19:07:46,Running,8.65,1900-01-01 00:42:24,1900-01-01 00:04:54,12.25,87,156,TomTom MySports Watch
2017-04-04 18:31:11,Running,8.61,1900-01-01 00:45:58,1900-01-01 00:05:20,11.24,89,143,TomTom MySports Watch
2017-04-01 16:56:53,Running,13.53,1900-01-01 01:14:46,1900-01-01 00:05:32,10.86,196,146,TomTom MySports Watch
2017-03-30 19:06:29,Running,8.48,1900-01-01 00:46:53,1900-01-01 00:05:32,10.85,90,143,TomTom MySports Watch
2017-03-28 19:13:23,Running,8.65,1900-01-01 00:45:24,1900-01-01 00:05:15,11.43,88,152,TomTom MySports Watch
2017-03-26 17:10:40,Running,14.62,1900-01-01 01:21:54,1900-01-01 00:05:36,10.71,149,143,missing
2017-03-20 18:44:13,Running,14.42,1900-01-01 01:18:40,1900-01-01 00:05:27,11.0,99,148,TomTom MySports Watch
2017-03-16 18:21:05,Running,6.8,1900-01-01 00:36:18,1900-01-01 00:05:20,11.24,67,151,TomTom MySports Watch
2017-03-13 18:34:11,Running,12.06,1900-01-01 01:07:14,1900-01-01 00:05:34,10.77,113,143,TomTom MySports Watch
2017-03-09 18:20:43,Running,9.52,1900-01-01 00:54:28,1900-01-01 00:05:43,10.49,81,139,TomTom MySports Watch
2017-02-27 18:57:30,Running,11.02,1900-01-01 00:59:26,1900-01-01 00:05:24,11.12,102,150,TomTom MySports Watch
2017-02-23 18:39:15,Running,8.8,1900-01-01 00:50:57,1900-01-01 00:05:47,10.37,85,139,TomTom MySports Watch
2017-02-21 19:16:07,Running,7.4,1900-01-01 00:41:20,1900-01-01 00:05:35,10.75,82,140,TomTom MySports Watch
2017-02-13 18:42:55,Running,9.78,1900-01-01 00:56:19,1900-01-01 00:05:45,10.42,78,146,TomTom MySports Watch
2017-02-06 18:45:01,Running,9.79,1900-01-01 00:58:23,1900-01-01 00:05:58,10.07,76,145,TomTom MySports Watch
2017-01-30 18:43:33,Running,6.98,1900-01-01 00:37:28,1900-01-01 00:05:22,11.18,66,143,TomTom MySports Watch
2017-01-26 18:47:36,Running,8.3,1900-01-01 00:44:30,1900-01-01 00:05:22,11.19,74,144,TomTom MySports Watch
2017-01-23 18:39:10,Running,11.98,1900-01-01 01:07:49,1900-01-01 00:05:40,10.6,100,150,TomTom MySports Watch
2017-01-19 18:10:00,Running,7.43,1900-01-01 00:41:36,1900-01-01 00:05:36,10.72,51,132,TomTom MySports Watch
2017-01-16 18:04:30,Running,12.15,1900-01-01 01:08:32,1900-01-01 00:05:38,10.64,99,143,TomTom MySports Watch
2017-01-12 18:19:37,Running,12.0,1900-01-01 01:08:08,1900-01-01 00:05:41,10.57,100,148,TomTom MySports Watch
2017-01-05 18:15:10,Running,7.02,1900-01-01 00:39:42,1900-01-01 00:05:39,10.61,68,143,TomTom MySports Watch
2017-01-03 18:26:07,Running,10.05,1900-01-01 00:57:27,1900-01-01 00:05:43,10.49,93,143,TomTom MySports Watch
2016-12-29 19:08:37,Running,7.0,1900-01-01 00:39:48,1900-01-01 00:05:41,10.55,67,113,TomTom MySports Watch
2016-12-26 18:37:08,Running,6.92,1900-01-01 00:39:42,1900-01-01 00:05:44,10.45,67,139,TomTom MySports Watch
2016-12-22 18:43:38,Running,6.9,1900-01-01 00:38:28,1900-01-01 00:05:35,10.76,64,137,TomTom MySports Watch
2016-12-15 18:53:07,Running,6.85,1900-01-01 00:37:44,1900-01-01 00:05:30,10.9,67,140,TomTom MySports Watch
2016-12-06 18:36:37,Running,6.99,1900-01-01 00:41:34,1900-01-01 00:05:57,10.08,49,139,TomTom MySports Watch
2016-12-01 18:39:39,Running,6.96,1900-01-01 00:39:33,1900-01-01 00:05:41,10.56,66,126,TomTom MySports Watch
2016-11-28 18:46:07,Running,10.13,1900-01-01 00:57:41,1900-01-01 00:05:42,10.54,95,144,TomTom MySports Watch
2016-11-24 18:50:24,Running,6.73,1900-01-01 00:36:01,1900-01-01 00:05:21,11.21,65,163,TomTom MySports Watch
2016-11-21 18:57:32,Running,10.05,1900-01-01 00:56:45,1900-01-01 00:05:39,10.63,96,146,TomTom MySports Watch
2016-11-17 18:52:21,Running,6.95,1900-01-01 00:40:32,1900-01-01 00:05:50,10.28,67,161,TomTom MySports Watch
2016-11-15 18:27:55,Running,6.94,1900-01-01 00:40:44,1900-01-01 00:05:52,10.22,66,134,TomTom MySports Watch
2016-11-10 18:31:03,Running,6.83,1900-01-01 00:40:03,1900-01-01 00:05:52,10.22,67,134,TomTom MySports Watch
